Manzara sahane evet ama servis rezalet.	SERVICE#GENERAL AMBIENCE#GENERAL
Lezzet iyi ama fiyatla orantili degil ,Porsiyonlar az,personel iyi .	SERVICE#GENERAL FOOD#STYLE_OPTIONS FOOD#PRICES FOOD#QUALITY
Manzara güzel.	AMBIENCE#GENERAL
Kurucesmede olmasına rağmen pek bir derme catma mekan.	AMBIENCE#GENERAL
Sıkış Sıkış yerlestirilmis masalardan dolayi ortam çok ugultulu maalesef.	AMBIENCE#GENERAL
Çok daha keyifli bir yer olabilirdi.	AMBIENCE#GENERAL
O gürültü ortamdan sonra tekrar gidecegimi sanmıyorum.	AMBIENCE#GENERAL
İthal peynir tabağındaki peynirler çok yetersiz, çoğu ithal bile değil.	FOOD#QUALITY
Böylesi bir mekan için fiyat ortalamanın üstünde kalmış.	RESTAURANT#PRICES
Açık ortamda yemek isteyenler için güzel bir ortam.	AMBIENCE#GENERAL
Bahçesinde sakince yemeğinizi yiyebilirsiniz.	AMBIENCE#GENERAL
Kuzu sisleri ve lahmacunlari guzeldi...	FOOD#QUALITY
Serviste aksamalar var.	SERVICE#GENERAL
garsonlar sürekli bir şey düşürüyor...	SERVICE#GENERAL
Kahvaltisi bol cesitli doyurucu hatta genelde biteremiyosunuz fiyati biraz daha uygun olabilirdi calisanlar guler yuzlu ama bulundugu alan ve masalar daha genis olsa daha rahat oturup keyifle kahvaltimizi edebiliriz	AMBIENCE#GENERAL SERVICE#GENERAL FOOD#STYLE_OPTIONS FOOD#PRICES
Merkezi konumu ve geniş menüsü nedeniyle Kadıköy'de çok tercih edilen, çoğu zaman dışarıda yer bile bulamayacağınız mekan.	LOCATION#GENERAL FOOD#STYLE_OPTIONS
Eskiden Midpoint-House Cafe gibi mekanların sunduğu menüleri daha uygun fiyata sunduğundan tercih ediyorduk.	
Fakat son iki gidişimde çok pahalanmış buldum.	RESTAURANT#PRICES
Yemeklerde bugüne dek bir sıkıntıya rastlamadım, ama çok lezzetli yapıyorlar diyebileceğim bir tek cajun tavuk var.	FOOD#QUALITY FOOD#QUALITY
Şimdilerde gözümde ancak ortalama bir mekan yani.	RESTAURANT#GENERAL
Tuzla balıkçısının köklü müşterisiyimdir.	RESTAURANT#GENERAL
İlk açıldığı günden bu gününe gelir giderim.	RESTAURANT#GENERAL
Fiyatları gayet uygun olan yer bulmanın bir o kadar zor olduğu şirin bir dükkandan buralara kadar kısa bir sürede gelmiş bir mekanımızdır.	AMBIENCE#GENERAL RESTAURANT#PRICES
Ama maalesef eski lezzet mi?	FOOD#QUALITY
Yok.	
Mekan ne kadar çok büyüdüyse kalite o kadar düştü.	RESTAURANT#GENERAL
Ah be Sezgin Abi eski lezzetine hasretiz	FOOD#QUALITY
beşiktaşa otobüsle zincirlikuyudan geldiğinizde gözünüze direk çarpan bir mekan.	LOCATION#GENERAL
pideleri iyi hizmetide bence üst kat terası çok daha iyi bütük kalabalık gözünüzün önünden akıyor resmen hemen yanındaki ağaç ilede farklı bir hava katıyor	SERVICE#GENERAL FOOD#QUALITY AMBIENCE#GENERAL
Bahariyede gezerken yemek yemek icin buraya gelebilirsiniz mekan guzel sik menu de cesitli gayet.	AMBIENCE#GENERAL FOOD#STYLE_OPTIONS
Fiyatlar da cok pahali degil ortalama duruyordu	RESTAURANT#PRICES
Cookshop diyince aklima ilk gelen Magnolia oluyor.	FOOD#QUALITY
Buraya gelipte bu tatliyi denemeden gitmeyin.	FOOD#QUALITY
Makarnalardan patlicanli,zeytinli penne guzel.	FOOD#QUALITY
Arkadasim lasagne yedi ama pek begenmedi.	FOOD#QUALITY
Servisin gelistirilmesi gerek siparis almaya gec geliyorlar.	SERVICE#GENERAL SERVICE#GENERAL
Sadece adi num num - Hem Gmall hem Kanyon denedim ama olmadi.	RESTAURANT#GENERAL
Yemekler basarisiz, menü zengin, servis de basarili ama ilk açildigindaki lezzet kalitesini bozdu.	FOOD#QUALITY FOOD#STYLE_OPTIONS SERVICE#GENERAL
Kurufasulye ve Sütlaç - Sürekli gittigim yerlerden biri.	FOOD#QUALITY
Kendileri Rize'den, fasulyeleri Ispir'den...	
Tereyagini da manzarayla karistirinca, yeme de yaninda yat...	FOOD#QUALITY AMBIENCE#GENERAL
Bir de üzerine bolca findik dökülmüs firin sütlaci yedin mi daha ne olsun.	FOOD#QUALITY
Ideal...	RESTAURANT#GENERAL
- Tuzla sahilinde kafede oturup bir seyler içmek için ideal bir yer.	LOCATION#GENERAL
Künefesi düsündügümden güzelmis.	FOOD#QUALITY
Bir Hatay künefesiyle kiyaslamasam tabi ki ama lezzetliydi.	FOOD#QUALITY
Çayi, sahlepi, künefesi ve dondurmasi önerilebilir.	DRINKS#QUALITY DRINKS#QUALITY FOOD#QUALITY
Limonatasi ev yapimi deniyor hatta içinde nane yapragi vs. düz limonata gelince sorduk nane yapragini su anda yok dediler.	DRINKS#STYLE_OPTIONS
Biz sormadan getirdigimizde bilgilendirmesi lazimdi.	SERVICE#GENERAL
Tabi bunlar ufak tefek seyler.	
Yine de Tuzla'da ugrak olunabilecek bir mekan.	RESTAURANT#GENERAL
Mis gibi Uskudar ;) - Dilruba'ya çikis yolu zorlu, yorucu olsa da nargilesi için gidilmeye deger.	DRINKS#QUALITY LOCATION#GENERAL
Hele kebaplari enfes.	FOOD#QUALITY
Sabahlari ise 100 çesit kahvaltisiyla essiz manzara birlesince insani rahatlatmaya yetiyor.	AMBIENCE#GENERAL FOOD#STYLE_OPTIONS
Görülmesi gereken, kaliteli bir yer;)	RESTAURANT#GENERAL
Dün ailece essiz lezzetleri tatdigimiz Mabeyn deydik.	FOOD#QUALITY
Tatlilar muhtesemdi.	FOOD#QUALITY
Hesap gelene kadar tadimizda çok iyiydi.	RESTAURANT#PRICES
342 TL çok fazla.	RESTAURANT#PRICES
Içki servisi kaldirilmis olmasi garibime gitti açikcasi.	DRINKS#STYLE_OPTIONS
Degisik pide türleri caniniz çekiyorsa denenebilir.	FOOD#STYLE_OPTIONS
Kusbasli kasarli pidesini denedik.	
eh iste.	RESTAURANT#GENERAL
ama çok pide yemeyenler için güzel diyebilirim.	FOOD#QUALITY
çorbasi soguk geldi.	FOOD#QUALITY
Tadi pek yoktu.	FOOD#QUALITY
suflesi normal.	FOOD#QUALITY
Besiktas ta merkezi yerde.	LOCATION#GENERAL
Herkesin sürekli ovdugu...	
Fakat yemekleri baya standart hatta bazıları bi hayli kotu...	FOOD#QUALITY
Tavsiye edebileceğim tek şeyi dondurması olur sanırım.	FOOD#QUALITY
Geniş çay menüsü ve bence alelade demlenen çaylar.	DRINKS#STYLE_OPTIONS DRINKS#STYLE_OPTIONS
Kaliteli olabilirler ama ne gramına ne demleme süresine ne de sıcaklığa dikkat edildiğini sanmıyorum.	DRINKS#QUALITY DRINKS#STYLE_OPTIONS
Bir paket çay alabildiğim ücrete daha iyi bir şey beklerdim.	DRINKS#PRICES DRINKS#QUALITY
Tatlıları için gelinebilir.	FOOD#QUALITY
Miss Pizza "çok iyi" olmasa da İstanbul'da en iyiler arasında sayılabilir.	FOOD#QUALITY
Dışarıda yer vermiyorlar, içerisi boşken yerimiz yok diyorlar, Öğlen 12'den biraz önce gidince daha açılmadık diyorlar vb...	SERVICE#GENERAL
Yemeği fena olmasa servisi nedeniyle hayatta uğramayacağım yer.	FOOD#QUALITY RESTAURANT#GENERAL SERVICE#GENERAL
İyi bir kaliteye böyle bir hizmet hiç yakışmıyor.	FOOD#QUALITY SERVICE#GENERAL
Kullanılan malzemeler çok iyi değil ancak ortalamanın üstü ve hamuru gayet iyi yapıyorlar.	FOOD#QUALITY FOOD#QUALITY
Pizzaları gayet doyurucu ve çeşitli.	FOOD#STYLE_OPTIONS
Değişik tatları tatmak isteyenler için iyi bir alternatif.	FOOD#STYLE_OPTIONS
Özellikle kabaklı pizzası gayet başarılı.	FOOD#QUALITY
Servis konusunda ise ciddi sıkıntıları olduğunu düşündüğüm bir yer.	SERVICE#GENERAL
Her seferinde mutlaka bir problemle karşılaşıyoruz.	RESTAURANT#GENERAL
Çalışanlar gerçekten burnundan kıl aldırmıyor.	SERVICE#GENERAL
Çok defa geri dönmüşlüğüm de vardır.	RESTAURANT#GENERAL
Manzara konum çok çok güzel.	LOCATION#GENERAL AMBIENCE#GENERAL
Boğazda balık için İstanbul'daki belli başlı yerlerden olmasına rağmen böyle bir manzara için lezzet biraz daha arttiralabilinir diye düşünüyorum.	AMBIENCE#GENERAL FOOD#QUALITY
Fiyatlar yüksek ama gerçek boğazda balığın bedeli var, ambians ve konum dolayısı ile fiyatlara laf söylemek doğru değil.	LOCATION#GENERAL AMBIENCE#GENERAL RESTAURANT#PRICES
Boğazda balıklı romantik akşam yemeği için ...	AMBIENCE#GENERAL
Happy moon's burger ve normal burger denedik.	
Once kirk saat istegimiz soslari bekledik cunku tum soslar baskalari tarafindan kullaniliyordu.	SERVICE#GENERAL
Sorum su ki alti ustu bir mayonez ne kadar bulunmasi zor olabilir ya da maliyeti nedir ki bu kadar az alinir?	FOOD#STYLE_OPTIONS
Yemege gelince ise tatsiz tutsuz bir yemekti begenmedik.	FOOD#QUALITY
Yemek bitince hadi kalkin tavirlarina girildi.	SERVICE#GENERAL
Baska bir sey almiyor musunuz?	
Ne zaman kalkiyorsunuz?	
Ozetle uzatmadan musteriye yoluncak kaz gozuyle bakilmaktadir.	SERVICE#GENERAL
Bendemi var bir hoşnutsuzluk anlamadım.	RESTAURANT#GENERAL
Bereketli bir mekan hafta içi,cumartesi kuyruk kapıda.	RESTAURANT#GENERAL
Lakin bir kez soğuk gelen çorbayı garsona söylediğimde hiç oralı olmadı.	SERVICE#GENERAL
anlaşılan müessesede bir doymuşluk var.	RESTAURANT#GENERAL
Fısıltılara göre Avrupa yakasındada yer arayışları varmış.	
Bence orada en leziz olan lavaş.	FOOD#QUALITY
lavaş yediriyor gibi.	FOOD#QUALITY FOOD#QUALITY
Döneri çok beni sarmadı.	FOOD#QUALITY
En önemli özelliği olan döneri hariç geri kalan her şey iyiydi.	FOOD#QUALITY RESTAURANT#GENERAL
Yemek öncesi ikramlar, garsonların ilgisi ve servis hızı güzeldi.	SERVICE#GENERAL SERVICE#GENERAL SERVICE#GENERAL
Ama döneri methedildiği kadar değilmiş.	FOOD#QUALITY
Manzarası süper, zaten süper olan başka birşeyde yok.	RESTAURANT#GENERAL AMBIENCE#GENERAL
Diğer lezzetlerin tamamı standart.	FOOD#QUALITY
Bu lezzetlere göre uygılanan fiyatlarda pahalı bence.	FOOD#PRICES
Manzara parası eklenmiş yiyeceklerin üzerine	FOOD#PRICES
Tünel'de ev yemeği yemek için güzel bir alternatif ve lezzetli olsa da rahatlık açısından bana iyi bir hissiyat vermemişti, hemen yemek yiyip kalkmalık mekanlardan çünkü masa sayısı çok az ve masanı yüksek ihtimalle başkalarıyla paylaşıyorsun.	AMBIENCE#GENERAL FOOD#QUALITY
Yine de ayda yılda bir gidilebilir.	RESTAURANT#GENERAL
Zeytinyagli yemekleri cok basarili ve her yerde olan klasik yemekler yerine farkli tatlar var.	FOOD#STYLE_OPTIONS FOOD#QUALITY
Oldukca da bol kepceden hizmet veriyorlar ve 5cesit zeytinyagli icin 13-14tl oduyorsunuz.	FOOD#PRICES FOOD#STYLE_OPTIONS
ogle yemeklerinde hele de yazin favori yerlerimden,ama maalesef ufak bir mekan oldugu icin yer bulmak zor olabiliyor ama birazcik beklerseniz imkansiz degil	FOOD#QUALITY SERVICE#GENERAL
Manzarası süper.	AMBIENCE#GENERAL
Gerçekten çok güzel bir konumda yer alıyor.	LOCATION#GENERAL
Servisi hızlı.	SERVICE#GENERAL
Ne zaman gitsek güler yüzle ayrılıyoruz.	RESTAURANT#GENERAL
Köfteleri de lezzetli.	FOOD#QUALITY
Taksimin kalabalik dar sokaklarindan kucucuk bir kapidan girip ulastiginiz yemyesil bir bahce adeta kucuk bir supriz :	AMBIENCE#GENERAL
) biz burayi cok sevdik cok romantik cok tatli.	AMBIENCE#GENERAL RESTAURANT#GENERAL
Tek kusuru masalar biraz yakin birbirine.	AMBIENCE#GENERAL
Kirmizi limonata ve limon vitamin tercih ettik ve ikisine de bayildik.	DRINKS#QUALITY DRINKS#QUALITY
Mutlaka gelin gorun.	RESTAURANT#GENERAL
Manzarasi mukkemmel denize sifir olmasi sebebiyle.	AMBIENCE#GENERAL
Bahcesi huzurlu.	AMBIENCE#GENERAL
İcerisi icin ayni seyi soyleyemiycm temiz bulmuyorum.	AMBIENCE#GENERAL
Self servis olayi sıkıcı.	SERVICE#GENERAL
Bir yandan iyi pesinizde dolanan garsonlar yok.	SERVICE#GENERAL
Girip hava almak icin oturabilceginiz br yer.	AMBIENCE#GENERAL
Çok kalabalık olduğundan pek sohbete uygun değil, ancak mekan gayet güzel, iç kısım çok güzel kokuyor.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Ama kalabalık ve gürültüden dolayı çok fazla duramadık.	AMBIENCE#GENERAL
Eski performansini ariyoruz - Baslarda müptelasi oldugum ama son zamanlarda kalitesi oldukça düsen bir mekan.	RESTAURANT#GENERAL
Ilk kez yiyen için mükemmel ama ilk açildigindaki lezzeti kaybetti.	FOOD#QUALITY FOOD#QUALITY
En iyi konumlu ögretmenevi!	LOCATION#GENERAL
- Anadolu Hisari'nin hemen yanindaki Sabanci Ögretmenevi, herkesin kullanimina açik olan bir tesis.	RESTAURANT#GENERAL
Toplamda 4 salon ve bir kafeteryadan olusan tesiste uygun fiyat hizmet almak ve 4 ayri salonda dügün, nisan, okul yemegi, toplanti gibi organizasyonlar gerçeklestirmek mümkün.	RESTAURANT#PRICES
Kafeteryasinin self servis olmasi bir eksi gibi görünse de Bogaz'daki çay keyfi tartisilmaz!	AMBIENCE#GENERAL SERVICE#GENERAL
Tamam yemekler guzel de, pilav da kurufasulye de soguk!	FOOD#STYLE_OPTIONS FOOD#QUALITY
Cok kalabalik oldugu icin servis de aksiyor tabii, calisanlar bikkin.	SERVICE#GENERAL
Bir kere gittim, bir daha gitmem.	RESTAURANT#GENERAL
Hani sizi keyifli sohbet ortamlari ile bütünlestiren ve ardindan damakta biraktigi Lezzet ile müdavimi yapan yerler vardir!	AMBIENCE#GENERAL FOOD#QUALITY
O adreslerden biridir!	
Pazar kahvaltilari benim Için mabeyin'dir.	FOOD#QUALITY
Namini duyup gittigim yerlerden ama mezeler gelince ortada nam falan kalmadi malesef.	FOOD#QUALITY
Ayrica sacma sapan hesapta gelip sonrasinda bahsisle calisan valenin para diye tutturmasida cabasi.	SERVICE#GENERAL RESTAURANT#PRICES
Begenmedim malesef.	RESTAURANT#GENERAL
Bize mi denk geldi bilmiyorum ama, uzun zamandır yediğim en kötü yemeği burada yedim, üstüne servis de çok çok kötüydü.	FOOD#QUALITY SERVICE#GENERAL
Menünün hiç bir özelliği yok.	FOOD#STYLE_OPTIONS
Birbirinin kopyası olan, standart kafe yemekleriyle müşteri kazıklamaya çalışan tipik yerlerden biri.	RESTAURANT#PRICES RESTAURANT#GENERAL FOOD#STYLE_OPTIONS
Hisarüstüne çok yakışan bir bar olmuş iç dizaynını çok güzel yapmışlar ama kış aylarında biraz soğuk olma problemi var :	AMBIENCE#GENERAL AMBIENCE#GENERAL
( 4 tarafı cam olduğu için yeterince ısıtamıyorlar.	AMBIENCE#GENERAL
Yılbaşı için 100 liraya sınırsız yabancı alkollü bir etkinlikleri olması da çok güzel :	DRINKS#STYLE_OPTIONS
Hamburgerini pek beğenmedim ama diğer yemekleri lezzetli olabilir belki.	FOOD#QUALITY FOOD#QUALITY
Sürekli kalabalık olan bir mekan.	AMBIENCE#GENERAL
Üniversiteliler çok sık uğruyor.	
Kadıköydeki gözde mekanlardan biri	RESTAURANT#GENERAL
Çay denilince akla ilk gelen yer:	RESTAURANT#GENERAL
)) 60'a yakın çeşitte çaydan birini mutlaka seviceksiniz:	DRINKS#STYLE_OPTIONS
) ben karamel aramalı çayı çok sevdim adını hatırlamasamda siz içinde karamel var dediğinizde tek gelicek o olucaktır:	DRINKS#QUALITY
)) mekan inanılmaz keyifli içerdeki koltuklardan kalkmak istemiyor insan:	AMBIENCE#GENERAL
Kesinlikle verdiğim puanı hakeden bir mekan.	RESTAURANT#GENERAL
Küçük şirin bir konsepte sahip.	AMBIENCE#GENERAL
Pizza Fagotto favori lezzetim ve daha iyisini yiyene kadar benim için en iyi pizza bu.	FOOD#QUALITY
Düsen kalite - Eskiden ne çok severdim patlicanli güveç kebabini...	RESTAURANT#GENERAL
Yakinlarda gittim servis berbat.	SERVICE#GENERAL
Fiyat yüksek, kart geçmiyor...	RESTAURANT#PRICES
Yine de sorbe dondurmasi güzeldir.	FOOD#QUALITY
Kısıklı'ya yakın olan mekanın Şatobiryan isimli etini deneyin.	FOOD#QUALITY
Yalnız önceden arayın, var mı kaldı mı diye sorun.	
Özel bir sunumla masanıza geliyor.	FOOD#STYLE_OPTIONS
Bir de mantar çanakları denenebilir.	FOOD#QUALITY
Harika manzara, güzel lezzetler - Manzarasi ve yiyecekleri son derece güzel, her çesit yiyecek mevcut ve son derece lezzetli fiyatlari ise çok çok uygun.	FOOD#STYLE_OPTIONS FOOD#QUALITY AMBIENCE#GENERAL FOOD#PRICES
Halka açik olmasi ise son derece güzel.	RESTAURANT#GENERAL
Çok kalabalik olusu ve yer bulamamak sikinti olsa da gidilmesi gereken yerlerden biri.	RESTAURANT#GENERAL AMBIENCE#GENERAL
Hisarustu'ndeki en genis mekan olmasina ragmen ferah bir yer degil.	AMBIENCE#GENERAL
Kalabalik gruplar icin uygun, bu acidan buyuk avantaj sagliyor.	AMBIENCE#GENERAL
Belli bir saate kadar bistro seklinde olusu da guzel.	RESTAURANT#GENERAL
Yazin camekan olmasi hos ancak kisin donmustuk.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Ilk kez kıs gecirmesinden midir bilmem ama su da akiyordu tepemizden.	AMBIENCE#GENERAL
Kendi biralarindan denenmeli, guzel biralar vardi.	DRINKS#QUALITY
Isterseniz denemek icin farkli biralardan kucuk bardaklarda alabiliyorsunuz.	DRINKS#STYLE_OPTIONS
Keyifli bir ortam ve cok da kalabalik degildi, tavsiye edilir	AMBIENCE#GENERAL
Kadıköyde hemen hemen gitmediğim bar kalmadı diyebilirim.	
Alkol çeşitliliği, yemekleri, dekorasyonu, barmeni, müşteri profili olarak benim için Kadıköy'dekl en iyi mekandır.	DRINKS#STYLE_OPTIONS SERVICE#GENERAL AMBIENCE#GENERAL AMBIENCE#GENERAL FOOD#QUALITY
Çalışanların, işletmecinin hatta sahibinin misafirperverliği ve samimiyetini başka bir mekanda bulabileceğinizi sanmıyorum.	SERVICE#GENERAL SERVICE#GENERAL SERVICE#GENERAL
Her daim gidilebilecek bir mekan.	RESTAURANT#GENERAL
Yalnız, maç günlerinde bir gün önceden rezervasyon yapmalısınız.	
Maç günü yer bulmanız çok zor.	
Kadıköy'ün kemik mekanı.	RESTAURANT#GENERAL
Hep klasik kaliteyi bulabilmeniz mümkün.	RESTAURANT#GENERAL
Hafta sonu kahvaltısı için de gönül rahatlığıyla tercih edebileceğiniz bir mekan	FOOD#QUALITY
Ramazan ayında gitme fırsatı buldum yeşillik içinde hoş ve düzgün bir mekan.	AMBIENCE#GENERAL
İftar öncesi ve sonrasında güzel müzik ziyafeti sundular.	AMBIENCE#GENERAL
Esas konumuz olan yemeklere gelince çok pozitif olamaycağım.	FOOD#QUALITY
ben aynı fiyatlara çok daha lezzetli yemekler yiyorum bu şehirde.	FOOD#QUALITY
Mekanı bilmeyeniniz yoktur.	RESTAURANT#GENERAL
Kız kulesi karşısında eşşsiz bir manzara , meşhur olduktan sonra tabiki her yer gibi lezzet kalitesi düşüyor.	FOOD#QUALITY AMBIENCE#GENERAL
Bu konuda her mekan böyledir	
Telefonla aradığımda rezervasyon alamıyoruz deyip, oraya gittiğimde istediğim masaya "orası rezerve beyefendi" diyerek oturtmayan, insanları görünüşüne göre açıkça tersleyen ukala ve sevimsiz garsonlara sahip.	SERVICE#GENERAL
Big Chefs isminin verdiği güven ve muhitinde rakibi olmaması yüzünden sürekli dolu olabilir ama böyle giderlerse çok müşteri kaybederler.	SERVICE#GENERAL
Hamburgerlerini seviyordum ama son deneyimim beni mutlu etmedi.	FOOD#QUALITY RESTAURANT#GENERAL
Bir kez daha sans vereceğim.	RESTAURANT#GENERAL
Servisi bazen iyi, bazen kötü.	SERVICE#GENERAL
Mekan tasarımı iyi.	AMBIENCE#GENERAL
Ofiste bir tatli kriziyle Tavuk Gögsü ve Kabak Tatlisi siparis ettik.	
Ikisi de birbirinden lezzetli.	FOOD#QUALITY
Hatta sanirim hayatimda yedigim en lezzetli Tavuk Gögsü'nü yedim.	FOOD#QUALITY
Keske fotograf çekmeye de firsatimiz olsaydi.	
) Bu arada hizli servis için tesekkür ediyoruz.	SERVICE#GENERAL
Tatli krizi ancak böyle sahane bastirilabilirdi.	FOOD#QUALITY
mekan emniyet mah cafe ve restorant olmak sartiyla iki bölümden olusuyor her ikisinide denedim gayet genel itibari ile güzel bir mekan kuzu bonfilesi güzeldi ilgi normaldi çok kalabalik bir mekan içecekler genel olarak güzeldi giriste mini sarküteride alisverise isik tutuyor güzeldi fiyatlar birazcik fazla	SERVICE#GENERAL RESTAURANT#PRICES RESTAURANT#GENERAL RESTAURANT#GENERAL DRINKS#QUALITY FOOD#QUALITY
gerçekten bir özelligi olmayan çesidi bol konumu itibari ile talep gören çok sikisik havasiz normal bir mekan fiyatlar hayli yüksek süper bir özelligi olan bir yemegi varsa söyleyin arkadaslar	LOCATION#GENERAL RESTAURANT#PRICES AMBIENCE#GENERAL
Servisi ve yemekleri bu kadar kötü restorant bulmak istanbulda zor olsa gerek.	SERVICE#GENERAL FOOD#QUALITY
Yenmeyecek kadar kötü kebaplari, ukala garsonu ve en lüks restoranda ödeyecegini alkollü yemek fiyatiyla karsilasirsiniz.	FOOD#QUALITY SERVICE#GENERAL RESTAURANT#PRICES
Belediye bu isletmenin ruhsatini acil olarak iptal etmelidir.	RESTAURANT#GENERAL
Herseyi birakin manzarasi yeter zaten.	AMBIENCE#GENERAL
Denize sifir hatta oyle ki gecen gemilerden dolayi olusan dalgalar sizi islatir mi acaba diye bir korkuya kapiliyorsunuz ;) kahve ic manzarayi yani bogazi seyret yetti de artti bile.	AMBIENCE#GENERAL
Sadece manzarası başka bence artı değeri yok.	AMBIENCE#GENERAL RESTAURANT#GENERAL
O da eğer yer bulabilirseniz.	SERVICE#GENERAL
Çalışanları çok kaba.	SERVICE#GENERAL
Sizi saatlerce sırada bekletip önünüze başkalarını alabiliyor.	SERVICE#GENERAL
Passion fruit'lu dondurması ve içeceğini beğendim.	DRINKS#QUALITY FOOD#QUALITY
Aşşk-ı Memnu vasat bir tada sahip bence.	FOOD#QUALITY
Bir daha gider miyim?	RESTAURANT#GENERAL
Bilmiyorum.	
Fena değil ama menemen için fiyat yüksek.	FOOD#QUALITY FOOD#PRICES
Bu arada porsiyon da oldukça büyük, iki kişiye rahatlıkla yeter.	FOOD#STYLE_OPTIONS
Çok sulu olduğu için zaten bol ekmekle yeniyor.	FOOD#STYLE_OPTIONS
Tam anlamiyla harika bir mekan ic mekan konseptiyle tam kis mevsimine uygun ozellikle kisin kahvalti icin guzel bir mekan ariyorsaniz buraya bi ugrayin derim	AMBIENCE#GENERAL AMBIENCE#GENERAL
Hayır.	
Özellikle güzel bir havada gidiyorsanız deniz kıyısındaki masalarında oturmak için epey bi sıra bekleyebilirsiniz.	SERVICE#GENERAL
Mekan küçük ama şirin, aşk-ı memnu'yu daha önce hiç bitiremedim ama gerçekten çok güzel bir tadı var.	FOOD#QUALITY AMBIENCE#GENERAL
Servis sıkıntılıydı, sevemedim.	SERVICE#GENERAL
Ayrıca bahsettiğim meşhur tatlı 21 tl	FOOD#PRICES
Aslında doymuştuk ama gözümüzün açlığından patatesli mantısını da denedik gayet iyiydi ama ekstra bir özelliği yoktu.	FOOD#QUALITY
İçerisi biraz yemek kokuyordu ve çalışanlarında gereksiz bir negatif enerji vardı.	SERVICE#GENERAL AMBIENCE#GENERAL
İnşallah sadece o güne özgü bir negatifliktir çünkü Fıccın'ın tadı damağımda yine gitmek gerek.	RESTAURANT#GENERAL RESTAURANT#GENERAL
Fiyatlar gayet uygun.	RESTAURANT#PRICES
Bu civarda güzel kahvaltı edilecek yerlerden diye girdik ama durum pek öyle olmadı.	RESTAURANT#GENERAL
Menemeni güzel denebilir.	FOOD#QUALITY
Ama kahvaltı seçenekleri zayıf zira fotoğraftaki sözde zengin kahvaltı tabağı karar sizin.	FOOD#STYLE_OPTIONS
Zengini buysa normali nasıl olur.	FOOD#STYLE_OPTIONS
Çok övülüp merak ettiğimiz ama yine pişman olduğumuz bir yer.	RESTAURANT#GENERAL
Bu kadar popülersin o kötü durumdaki mekanı tadilattan geçirmek çok mu zor.	AMBIENCE#GENERAL
Adıyla meşhur menemen yiyeyim dedim domates kabuğu ayıklamaktan hiçbir şey anlamadım.	FOOD#QUALITY
O kabukları soymak ne kadar zor ki?	FOOD#STYLE_OPTIONS
Hele de adını aldığın bir şeyde.	
Sucuklu yumurtasında da sucuklar fazla pişmişti.	FOOD#QUALITY
Herşeyine kefil Olduğum bir mekan.	RESTAURANT#GENERAL
Garsonlarından aşçılarına kadar çok iyiler burada yediğiniz yemekler ve tabakların taklidi bulabilirsiniz ama bu tadı başka yerde bulamazsınız kardeşler keep calm and eat from Happy Moons	FOOD#QUALITY SERVICE#GENERAL
Adı üzerinde "menemeni" ile ünlü, sıcak, samimi, esnaf restoranı.	AMBIENCE#GENERAL
Menemeni leziz, balı enfes ama çayı için olumlu bir yorum yapamayacağım.	FOOD#QUALITY DRINKS#QUALITY FOOD#QUALITY
Karşısında da lokantası bulunuyor ama ben size derim ki gidin menemen ve bal kaymakla güzel bir kahvaltı yapın.	FOOD#QUALITY
Fiyatlar da gayet uygun, ortalamanın altında.	RESTAURANT#PRICES
Sampi, avarajda olsa da, otobüs yolculuğu yapanların mutlaka uğradığı yerdir.	RESTAURANT#GENERAL
Pideleri çeşitli, daha çok Karadeniz pidesi türünde.	FOOD#STYLE_OPTIONS
Özellikle gitmekten öte, denk gelince gidileceklerden bence.	RESTAURANT#GENERAL
Happy moon's ların yüz karası.	RESTAURANT#GENERAL
Çalışanlar çok kötü.	SERVICE#GENERAL
Lezzet sıfır.	FOOD#QUALITY
Menüde alkol bulundurmayan tek gereksiz happy moon's.	DRINKS#STYLE_OPTIONS
Olduğu sokaktaki siz masada yemek yerken ki yanınıza yapışanlarla da mücedele edemesi cabası.	LOCATION#GENERAL
Kis aylarinda tercih sebebi - Özellikle kisin bu kütük evde sahlep içmek oldukça güzeldir.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Aparatifleri de açliginizi yaristirmak için birebirdir.	FOOD#QUALITY
Nargilesi de mevcut olan mekan genelde hep doludur.	DRINKS#STYLE_OPTIONS
Kuru fasülye için tercih etmek gerek diye düsünülsede tereyagli pilavi çok daha dogal.	FOOD#QUALITY
Kuru hakikaten lezzetli ama içindeki yagin margarin oldugunu hissediyorum.	FOOD#QUALITY FOOD#QUALITY
Bu lezzetlerin yaninda verilen küçük aci biberler bence sofranin favorisi.	FOOD#STYLE_OPTIONS
((( hayal kirikligi - Uzunlar'a ilk gittigimdeki tadi ikinci gidisimde bulamadim...	FOOD#QUALITY
Ilk gittigimde çok lezzetli gelen dürüm 2. gidisimde tam bir fiyaskoydu çok yagli oldugundan yiyemedik arkadaslarla aç kaldik resmen :	FOOD#QUALITY FOOD#QUALITY
((( Mekanin kalabalik olmasindan mi kaynakliydi bu dikkatsizlik anlam veremedim, bu kadar övgü almasina ragmen böyle olumsuz bir durum ilginç geldi.	RESTAURANT#GENERAL
